endTime,podcastName,episodeName,msPlayed,hourlyTime
2024-09-23 20:19:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",4066,2024-09-23 20:00:00
2024-09-23 20:59:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",2167,2024-09-23 20:00:00
2024-09-23 21:46:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",0,2024-09-23 21:00:00
2024-09-23 21:47:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",60002,2024-09-23 21:00:00
2024-09-23 21:52:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",60004,2024-09-23 21:00:00
2024-09-24 16:36:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",0,2024-09-24 16:00:00
2024-09-26 13:05:00,Lights Out,"No One Knows Why This ""Gentle Giant"" Killed His Family",0,2024-09-26 13:00:00
2024-09-26 13:26:00,Crime Junkie,SURVIVED: Cyntoia Brown from Nashville,1269812,2024-09-26 13:00:00
2024-09-26 14:09:00,Call Her Daddy,"Katy Perry: Narcissists, Blow Jobs & Red Flags",98982,2024-09-26 14:00:00
2024-09-27 06:32:00,Hot Mess with Alix Earle,Family Divorce & Drama,2669535,2024-09-27 06:00:00
2024-09-28 00:01:00,The Useless Hotline,This episode shouldn't be released...,1012570,2024-09-28 00:00:00
2024-09-28 00:29:00,Therapuss with Jake Shane,Session 42: Season 1 Finale,45033,2024-09-28 00:00:00
2024-09-28 00:49:00,Therapuss with Jake Shane,Session 42: Season 1 Finale,1654,2024-09-28 00:00:00
2024-09-29 02:30:00,Call Her Daddy,"Katy Perry: Narcissists, Blow Jobs & Red Flags",48926,2024-09-29 02:00:00
2024-09-29 02:51:00,Call Her Daddy,"Katy Perry: Narcissists, Blow Jobs & Red Flags",9390,2024-09-29 02:00:00
2024-09-30 15:16:00,Crime Junkie,MYSTERIOUS DEATH OF: John Bender,2723664,2024-09-30 15:00:00
2024-10-02 19:34:00,The Useless Hotline,This episode shouldn't be released...,5333830,2024-10-02 19:00:00
2024-10-03 12:48:00,The Useless Hotline,"Gkbarry on Turning down the Sidemen, Secrets of Brand Trips and THAT TikTok Group",2695850,2024-10-03 12:00:00
2024-10-03 13:58:00,The Useless Hotline,"Gkbarry on Turning down the Sidemen, Secrets of Brand Trips and THAT TikTok Group",3965918,2024-10-03 13:00:00
2024-10-03 15:51:00,Saving Grace,"12: George Clarke Addresses Dating Rumours, Inbetweeners Will & TikTok House TEA!",3892453,2024-10-03 15:00:00
2024-10-03 15:53:00,Saving Grace,"11: Love Island's Sharon Gaffka Talks S*x Parties, Dating Famous Footballers & MORE!",118856,2024-10-03 15:00:00
2024-10-03 15:57:00,The Useless Hotline,"Max and Andrew FIGHT, Discuss Taylor Swift and Fall Back In Love",225240,2024-10-03 15:00:00
2024-10-03 22:35:00,The Useless Hotline,Logan pauls gender reveal and Georges tragic love life,3158854,2024-10-03 22:00:00
2024-10-09 13:00:00,Crime Junkie,MYSTERIOUS DEATH OF: Debanhi Escobar,3349,2024-10-09 13:00:00
2024-10-09 17:52:00,Crime Junkie,INFAMOUS: The Lipstick Killer from Chicago,2052249,2024-10-09 17:00:00
2024-10-09 19:24:00,Crime Junkie,INFAMOUS: The Lipstick Killer from Chicago,554440,2024-10-09 19:00:00
2024-10-09 20:26:00,Crime Junkie,MYSTERIOUS DEATH OF: Debanhi Escobar,3065969,2024-10-09 20:00:00
2024-10-09 23:11:00,Call Her Daddy,Vice President Kamala Harris,10389,2024-10-09 23:00:00
2024-10-14 22:09:00,Crime Junkie,MURDERED: Jessica Chambers,3875016,2024-10-14 22:00:00
2024-10-14 22:15:00,Pretty Lonesome with Madeline Argy,Having no friends is fine,8501,2024-10-14 22:00:00
2024-10-14 23:27:00,Crime Junkie,MYSTERIOUS DEATH OF: Bethany Deaton from Kansas City,3472350,2024-10-14 23:00:00
2024-10-14 23:28:00,The Useless Hotline,Max & George Argue Moo Deng vs Pesto the Penguin and Chappell Roan Refusing Pictures With Fans,21620,2024-10-14 23:00:00
2024-10-15 00:37:00,The Useless Hotline,"ItalianBach reveals secrets of working with ArthurTV, Problems with fans and Future plans",140740,2024-10-15 00:00:00
2024-10-17 19:36:00,The Useless Hotline,"ItalianBach reveals secrets of working with ArthurTV, Problems with fans and Future plans",2812050,2024-10-17 19:00:00
2024-10-19 15:55:00,Crime Junkie,WANTED: Yogurt Shop Killer in Austin,1271153,2024-10-19 15:00:00
2024-10-19 15:55:00,Motives and Malice with Brooke Makenna,The Trick-or-Treat Murders: A Halloween Love Triangle,0,2024-10-19 15:00:00
2024-10-19 16:16:00,Crime Junkie,WANTED: Yogurt Shop Killer in Austin,9196,2024-10-19 16:00:00
2024-10-19 16:16:00,Motives and Malice with Brooke Makenna,The Trick-or-Treat Murders: A Halloween Love Triangle,0,2024-10-19 16:00:00
2024-10-21 20:02:00,Crime Junkie,MYSTERIOUS DEATH OF: Debanhi Escobar,7660,2024-10-21 20:00:00
2024-10-21 20:02:00,Crime Junkie,MYSTERIOUS DEATH OF: Elfrieda Knaak,942120,2024-10-21 20:00:00
2024-10-22 00:11:00,Crime Junkie,MYSTERIOUS DEATH OF: Elfrieda Knaak,2835910,2024-10-22 00:00:00
2024-10-25 15:20:00,Mile Higher,She Was Murdered Halloween Night & Despite CCTV & DNA Her Case Is Unsolved: Who Killed Nori Amaya?,114,2024-10-25 15:00:00
2024-10-26 00:08:00,Crime Junkie,MURDERED: Deanna Cook from Dallas,559427,2024-10-26 00:00:00
2024-10-26 00:09:00,Mile Higher,She Was Murdered Halloween Night & Despite CCTV & DNA Her Case Is Unsolved: Who Killed Nori Amaya?,37254,2024-10-26 00:00:00
2024-10-26 00:47:00,Mile Higher,She Was Murdered Halloween Night & Despite CCTV & DNA Her Case Is Unsolved: Who Killed Nori Amaya?,0,2024-10-26 00:00:00
2024-10-26 03:45:00,Mile Higher,She Was Murdered Halloween Night & Despite CCTV & DNA Her Case Is Unsolved: Who Killed Nori Amaya?,30460,2024-10-26 03:00:00
2024-10-28 15:39:00,Crime Junkie,INFAMOUS: The Bricca Family,30,2024-10-28 15:00:00
2024-10-28 15:39:00,Crime Junkie,INFAMOUS: The Bricca Family,1430811,2024-10-28 15:00:00
2024-10-28 19:23:00,Crime Junkie,INFAMOUS: The Bricca Family,2952350,2024-10-28 19:00:00
2024-10-29 20:08:00,Behind You,"She Checked her Boyfriends Snapchat Location, And Caught Him Burying a Body: Case of The Haldersons",1735668,2024-10-29 20:00:00
2024-10-29 23:18:00,Behind You,"She Checked her Boyfriends Snapchat Location, And Caught Him Burying a Body: Case of The Haldersons",8190,2024-10-29 23:00:00
2024-10-31 15:27:00,Behind You,"She Checked her Boyfriends Snapchat Location, And Caught Him Burying a Body: Case of The Haldersons",44600,2024-10-31 15:00:00
2024-11-03 20:12:00,Mile Higher,She Was Last Seen Riding ATV with Sketchy Neighbor & Then Found Murdered... The Judy Rawlings Case,0,2024-11-03 20:00:00
2024-11-03 22:34:00,The Sesh,Derrick Levasseur Spills the Big Brother Tea & Ranks Players,1822,2024-11-03 22:00:00
2024-11-04 14:54:00,Crime Junkie,"MURDERED: Roger ""Fred"" Farmer",2846117,2024-11-04 14:00:00
2024-11-04 14:57:00,The Sesh,Derrick Levasseur Spills the Big Brother Tea & Ranks Players,296,2024-11-04 14:00:00
2024-11-04 18:47:00,Behind You,He Manipulated his Lawyer to Help him Commit Murder: Case of Tiffany Eichoch,515276,2024-11-04 18:00:00
